committer_date,file,current_CBO_class_sum,current_LCOM5_class_sum,current_WMC_class_sum,current_RFC_class_sum,current_DIT_class_sum,current_NOC_class_sum,current_NPM_class_sum,current_CC_class_avg,current_CC_class_max,current_RFC_class_sum.1,current_CC_method_avg,current_LOC_file,is_inducing
2017-05-25 14:37:17-04:00,nifi-nar-bundles/nifi-extension-utils/nifi-record-utils/nifi-avro-record-utils/src/main/java/org/apache/nifi/avro/AvroTypeUtil.java,11.0,1.0,137.0,45.0,0.0,0.0,9.0,0.115033,0.115033,45.0,0.1042085714285714,638.0,True
2017-06-07 12:03:53-04:00,nifi-nar-bundles/nifi-extension-utils/nifi-record-utils/nifi-avro-record-utils/src/main/java/org/apache/nifi/avro/AvroTypeUtil.java,11.0,1.0,138.0,45.0,0.0,0.0,9.0,0.0554871,0.0554871,45.0,0.0741110714285714,642.0,True
2017-05-25 16:45:20-04:00,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-framework-core/src/main/java/org/apache/nifi/controller/FlowController.java,261.0,17.0,602.0,920.0,8.0,0.0,183.0,0.0986314545454545,0.954545,920.0,0.0677253971291866,4461.0,True
2017-07-06 13:43:56-04:00,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-framework-core/src/main/java/org/apache/nifi/controller/FlowController.java,261.0,22.0,617.0,936.0,8.0,0.0,200.0,0.0984274545454545,0.954545,936.0,0.0626310088495575,4539.0,True
2017-08-10 18:41:24-07:00,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-framework-core/src/main/java/org/apache/nifi/controller/FlowController.java,261.0,22.0,619.0,940.0,8.0,0.0,201.0,0.0979742727272727,0.954545,940.0,0.0624127168141592,4547.0,True
2017-08-17 10:42:29-04:00,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-framework-core/src/main/java/org/apache/nifi/controller/FlowController.java,264.0,22.0,620.0,944.0,8.0,0.0,201.0,0.0979924545454545,0.954545,944.0,0.0624303362831858,4557.0,True
2017-05-26 21:05:45-05:00,nifi-nar-bundles/nifi-site-to-site-reporting-bundle/nifi-site-to-site-reporting-task/src/main/java/org/apache/nifi/reporting/SiteToSiteProvenanceReportingTask.java,14.0,12.0,68.0,13.0,4.0,1.0,15.0,0.110699,0.110699,13.0,0.0219031538461538,482.0,True
2017-06-01 15:31:35-04:00,nifi-nar-bundles/nifi-standard-services/nifi-hwx-schema-registry-bundle/nifi-hwx-schema-registry-service/src/main/java/org/apache/nifi/schemaregistry/hortonworks/HortonworksSchemaRegistry.java,15.0,8.0,58.0,13.0,3.0,0.0,18.0,0.279011,0.279011,13.0,0.2075938461538461,428.0,True
2017-06-02 13:01:13-04:00,nifi-nar-bundles/nifi-elasticsearch-bundle/nifi-elasticsearch-processors/src/main/java/org/apache/nifi/processors/elasticsearch/PutElasticsearchHttpRecord.java,43.0,1.0,74.0,79.0,6.0,1.0,20.0,0.272685,0.272685,79.0,0.270151,566.0,True
2017-05-25 14:37:17-04:00,nifi-nar-bundles/nifi-extension-utils/nifi-record-utils/nifi-avro-record-utils/src/main/java/org/apache/nifi/avro/AvroTypeUtil.java,11.0,1.0,137.0,45.0,0.0,0.0,9.0,0.115033,0.115033,45.0,0.1042085714285714,638.0,True
