,0,1,2,3
0,1,11,2,6
1,2,5,3,10
2,3,2,2,13
3,2,3,3,12
4,1,5,2,12
5,3,5,2,10
6,1,5,2,12
7,0,8,7,5
8,2,4,3,11
9,4,14,1,1
10,2,2,3,13
11,1,7,6,6
12,1,7,2,10
13,2,10,3,5
14,1,7,6,6
15,1,7,2,10
16,2,4,3,11
17,1,7,2,10
18,1,3,4,12
19,4,5,1,10
20,2,10,5,3
21,2,12,3,3
22,1,4,2,13
23,0,14,5,1
24,1,12,4,3
25,2,12,3,3
26,2,10,5,3
27,1,5,6,8
28,1,8,6,5
29,3,2,2,13
30,1,5,2,12
31,1,12,2,5
32,1,5,2,12
33,3,2,0,15
34,4,12,1,3
35,3,11,2,4
36,1,13,6,0
37,1,7,2,10
38,2,3,3,12
39,0,6,7,7
40,1,5,2,12
41,1,2,4,13
42,2,2,3,13
43,1,7,2,10
44,1,6,4,9
45,1,5,2,12
46,1,10,6,3
47,1,4,2,13
48,0,12,5,3
49,2,10,5,3
50,2,5,3,10
51,1,7,2,10
52,3,10,2,5
53,1,9,2,8
54,3,10,2,5
55,2,11,3,4
56,2,9,3,6
57,5,11,0,4
