change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.9423076923076923,0.660908258081403,0.17043368154479266
"[""cbo: ('(0.024999999999999998, 0.085)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.9326923076923077,0.4636435124508519,0.11601098901098902
"[""avg_cc: ('(0.195, 0.325)', '(0.105, 0.20500000000000002)')""]","bug: ('1', '0')",1.701923076923077,0.4338593737089978,0.0766385400313972
"[""cam: ('(0.195, 0.315)', '(0.545, 1.005)')""]","bug: ('1', '0')",1.6538461538461537,0.6315829528158295,0.13798735511064278
"[""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.5576923076923077,0.61629279811098,0.1087912087912088
"[""ce: ('(0.205, 0.395)', '(0.035, 0.165)')""]","bug: ('1', '0')",1.528846153846154,0.4869990224828935,0.08388819961400609
"[""cbo: ('(0.024999999999999998, 0.085)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.5,0.49864003653040556,0.09604343025395656
"[""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.4807692307692308,0.6542248852000098,0.12534874451972897
"[""avg_cc: ('(0.195, 0.325)', '(0.105, 0.20500000000000002)')""]","bug: ('1', '0')",1.451923076923077,0.49965168930686166,0.07968335543766579
"[""rfc: ('(0.185, 0.465)', '(0.024999999999999998, 0.095)')""]","bug: ('1', '0')",1.442307692307692,0.6267313019390582,0.12788461538461537
"[""cbo: ('(0.024999999999999998, 0.085)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.4326923076923075,0.4934262554369316,0.08413974815220365
"[""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.4326923076923075,0.6503540974129209,0.10902406417112298
"[""cam: ('(0.195, 0.315)', '(0.305, 0.515)')""]","bug: ('1', '0')",1.375,0.4252420470262794,0.07154484519629747
"[""ce: ('(0.205, 0.395)', '(0.035, 0.165)')"", ""cbo: ('(0.024999999999999998, 0.085)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.3557692307692306,0.48754262978400914,0.07751017011834321
"[""cbo: ('(0.024999999999999998, 0.085)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.346153846153846,0.4567981038569274,0.07534667713239143
"[""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.3365384615384615,0.5988969954615959,0.08947908887229275
"[""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.3365384615384615,0.5988969954615959,0.08947908887229275
"[""rfc: ('(0.185, 0.465)', '(0.08499999999999999, 0.17500000000000002)')""]","bug: ('1', '0')",1.3365384615384615,0.4378829016986912,0.07573260073260074
"[""rfc: ('(0.185, 0.465)', '(0.024999999999999998, 0.095)')"", ""loc: ('(0.095, 0.505)', '(-0.005, 0.045)')""]","bug: ('1', '0')",1.3173076923076923,0.6625512061902594,0.12559171597633137
"[""cbo: ('(0.024999999999999998, 0.085)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.2884615384615383,0.5162969905237946,0.08370340999206977
"[""rfc: ('(0.185, 0.465)', '(0.024999999999999998, 0.095)')""]","bug: ('1', '0')",1.2692307692307692,0.5866119709118031,0.08920595533498761
"[""ce: ('(0.205, 0.395)', '(0.035, 0.165)')""]","bug: ('1', '0')",1.2692307692307692,0.500962954571202,0.07291831879460746
"[""npm: ('(0.175, 1.005)', '(0.015, 0.095)')""]","bug: ('1', '0')",1.2596153846153846,0.5241612803939674,0.07403846153846154
"[""avg_cc: ('(0.195, 0.325)', '(0.105, 0.20500000000000002)')""]","bug: ('1', '0')",1.2403846153846154,0.5191539578794481,0.06982466063348416
"[""avg_cc: ('(0.195, 0.325)', '(0.105, 0.20500000000000002)')""]","bug: ('1', '0')",1.2403846153846154,0.5191539578794481,0.06982466063348416
"[""cam: ('(0.195, 0.315)', '(0.545, 1.005)')""]","bug: ('1', '0')",1.2307692307692308,0.6010749646393211,0.09308834729626808
"[""ce: ('(0.205, 0.395)', '(0.035, 0.165)')""]","bug: ('1', '0')",1.221153846153846,0.48952147099132026,0.06768940858136838
"[""avg_cc: ('(0.195, 0.325)', '(0.105, 0.20500000000000002)')""]","bug: ('1', '0')",1.2115384615384615,0.5706033376123235,0.08057804768331084
