change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.6577301161751565,0.3548804456539436,0.052399670524330616
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.3717605004468276,0.341853687180442,0.03965531406190531
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.3717605004468276,0.33405824682460267,0.03832532501159347
"[""cbo: ('(0.015, 0.115)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.3494191242180518,0.36223109448964813,0.11641853478599817
"[""cam: ('(0.175, 0.395)', '(0.385, 0.765)')""]","bug: ('1', '0')",1.2823949955317249,0.32256124819765647,0.03912635269344736
"[""rfc: ('(0.035, 0.115)', '(0.015, 0.045)')""]","bug: ('1', '0')",1.2511170688114386,0.3557007395308742,0.062426129320533874
"[""rfc: ('(0.11499999999999999, 0.445)', '(0.015, 0.045)')""]","bug: ('1', '0')",1.2511170688114386,0.40307673961004115,0.06525123237914035
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')"", ""cbo: ('(0.015, 0.115)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.166219839142091,0.3779900881057269,0.04714253798033957
"[""moa: ('(0.055, 0.17500000000000002)', '(-0.005, 0.065)')""]","bug: ('1', '0')",1.161751563896336,0.3231681803637796,0.0286303452384621
"[""cbo: ('(0.015, 0.115)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.1438784629133154,0.3682137078928849,0.12901516591612755
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.1394101876675604,0.3314737583274658,0.030052061227011678
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.1349419124218052,0.3461686117936118,0.035152124461775944
"[""moa: ('(0.055, 0.17500000000000002)', '(-0.005, 0.065)')""]","bug: ('1', '0')",1.13047363717605,0.33269826149083115,0.029999110388638853
"[""cbo: ('(0.015, 0.115)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.1126005361930296,0.36346968438538213,0.11103217158176948
"[""lcom: ('(-0.005, 0.015)', '(-0.005, 0.005)')"", ""lcom3: ('(0.225, 0.505)', '(0.615, 1.005)')""]","bug: ('1', '0')",1.1081322609472744,0.35535904364202076,0.035564441617061224
"[""rfc: ('(0.11499999999999999, 0.445)', '(0.015, 0.045)')""]","bug: ('1', '0')",1.094727435210009,0.4131463477587542,0.0754594158127044
