change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",2.2832369942196533,0.6295911295911295,0.1768734051971046
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')""]","bug: ('1', '0')",2.1098265895953756,0.6604761904761904,0.14918799889898154
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')""]","bug: ('1', '0')",2.0520231213872835,0.6739661654135338,0.14401321222130473
"[""dam: ('(0.08499999999999999, 0.945)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.8786127167630058,0.49774774774774777,0.09559053272926106
"[""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')""]","bug: ('1', '0')",1.8786127167630058,0.433969185619956,0.1337166400196778
"[""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.791907514450867,0.7058461538461539,0.13034682080924856
"[""dam: ('(0.08499999999999999, 0.945)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.7341040462427746,0.5647345612134345,0.10533848377056468
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')""]","bug: ('1', '0')",1.7341040462427746,0.6409438775510203,0.11489913884628997
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')"", ""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.6184971098265897,0.7390378884631759,0.12252908013987013
"[""dit: ('(0.11499999999999999, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",1.6184971098265897,0.36250299688324145,0.05166557416125381
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.5895953757225434,0.6065618968844776,0.12744732425881036
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.4739884393063585,0.5026086956521739,0.09085197285750188
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')"", ""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.4739884393063585,0.775290215588723,0.11944612199120008
"[""wmc: ('(0.205, 0.385)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",1.4739884393063585,0.8686813186813187,0.16241742361684558
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.4739884393063585,0.5026086956521739,0.09085197285750188
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.4739884393063585,0.5026086956521739,0.09085197285750188
"[""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.4450867052023122,0.6938775510204082,0.13872832369942198
"[""max_cc: ('(0.215, 0.425)', '(0.015, 0.095)')""]","bug: ('1', '0')",1.4161849710982661,0.6002578981302386,0.10509162464641494
"[""lcom: ('(0.024999999999999998, 0.115)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.3872832369942194,0.5685131195335277,0.08422791081750618
"[""dam: ('(0.08499999999999999, 0.945)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",1.3872832369942194,0.487218045112782,0.06930222956234516
"[""max_cc: ('(0.215, 0.425)', '(0.015, 0.095)')"", ""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')""]","bug: ('1', '0')",1.3583815028901733,0.5595238095238095,0.09179741260666113
"[""dit: ('(0.11499999999999999, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",1.3583815028901733,0.42079889807162535,0.06671483622350674
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.3583815028901733,0.5819047619047619,0.10886319845857417
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.3583815028901733,0.5195578231292517,0.09007707129094411
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')"", ""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.3583815028901733,0.7339989759344598,0.13079181576291402
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.3583815028901733,0.5195578231292517,0.09007707129094411
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.3583815028901733,0.5195578231292517,0.09007707129094411
"[""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')"", ""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.329479768786127,0.5754640839386602,0.12569805035759773
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')"", ""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')""]","bug: ('1', '0')",1.3005780346820808,0.6545454545454545,0.10137839039573145
"[""mfa: ('(0.505, 0.865)', '(-0.005, 0.185)')""]","bug: ('1', '0')",1.3005780346820808,0.4788895315211104,0.0721456821243861
"[""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')""]","bug: ('1', '0')",1.3005780346820808,0.3616013775290573,0.06031666247800957
"[""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')""]","bug: ('1', '0')",1.3005780346820808,0.3616013775290573,0.06031666247800957
"[""avg_cc: ('(0.215, 0.515)', '(0.11499999999999999, 0.185)')""]","bug: ('1', '0')",1.3005780346820808,0.3616013775290573,0.06031666247800957
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')""]","bug: ('1', '0')",1.2716763005780347,0.6913256955810148,0.09164072921298355
"[""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.2716763005780347,0.673469387755102,0.10725754656390495
"[""lcom: ('(0.024999999999999998, 0.115)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.2716763005780347,0.5908496732026144,0.0856095810193056
"[""npm: ('(0.195, 0.425)', '(0.035, 0.125)')"", ""dit: ('(0.11499999999999999, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",1.2716763005780347,0.636901121304791,0.0818263774725566
"[""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.2427745664739884,0.7141520467836258,0.0914207484027989
"[""loc: ('(0.195, 0.605)', '(-0.005, 0.10500000000000001)')"", ""wmc: ('(0.205, 0.385)', '(0.065, 0.14500000000000002)')""]","bug: ('1', '0')",1.2427745664739884,0.7656695156695157,0.11389424106187113
