change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""amc: ('(0.105, 0.265)', '(-0.005, 0.025)')""]","bug: ('1', '0')",1.1937716262975777,0.3925199709513435,0.047323427640952584
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.1418685121107266,0.3472722237607311,0.03561589491547837
"[""cam: ('(-0.005, 0.34500000000000003)', '(0.485, 0.655)')""]","bug: ('1', '0')",1.1418685121107266,0.4037441037735849,0.04971345155709342
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",1.1418685121107266,0.33777569947782715,0.032971887127817345
"[""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",1.0207612456747404,0.36718528995756716,0.038644694919318906
"[""dit: ('(0.285, 0.425)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.986159169550173,0.46074709124311086,0.04627651572137807
"[""cam: ('(-0.005, 0.34500000000000003)', '(0.645, 0.765)')""]","bug: ('1', '0')",0.986159169550173,0.49292452830188677,0.07598039215686272
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')""]","bug: ('1', '0')",0.9688581314878892,0.48037296037296046,0.23928666489220124
"[""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.8996539792387543,0.32919254658385094,0.02322476305100045
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')""]","bug: ('1', '0')",0.8823529411764707,0.3426067907995619,0.09821986909576019
"[""dit: ('(0.285, 0.425)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.8650519031141868,0.5233616504854369,0.04995464776430275
"[""dit: ('(-0.005, 0.125)', '(0.11499999999999999, 0.295)')"", ""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.8650519031141868,0.43125317097919835,0.04427169739773426
"[""dit: ('(0.285, 0.425)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.847750865051903,0.5185185185185185,0.048442906574394456
"[""lcom3: ('(-0.005, 0.295)', '(0.475, 0.885)')""]","bug: ('1', '0')",0.8304498269896193,0.5126050420168067,0.08032624814631735
"[""amc: ('(0.105, 0.265)', '(0.015, 0.115)')""]","bug: ('1', '0')",0.7958477508650519,0.3538970376761576,0.02497778281997466
"[""amc: ('(0.105, 0.265)', '(-0.005, 0.025)')""]","bug: ('1', '0')",0.7958477508650519,0.36896178803172314,0.02825046215101673
"[""amc: ('(0.105, 0.265)', '(-0.005, 0.025)')""]","bug: ('1', '0')",0.7958477508650519,0.36084720648479035,0.026834026148951487
"[""amc: ('(0.105, 0.265)', '(0.015, 0.115)')""]","bug: ('1', '0')",0.7958477508650519,0.3474688576729393,0.02385071675729114
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(-0.005, 0.10500000000000001)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.7785467128027681,0.40832290362953694,0.032798350879776186
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(-0.005, 0.10500000000000001)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.7785467128027681,0.391656662665066,0.029835463597203585
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.7785467128027681,0.4782042940793754,0.06205523274792715
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.7785467128027681,0.4882154882154882,0.07179930795847751
"[""ce: ('(0.145, 0.245)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.7785467128027681,0.4452690166975881,0.036804026423403594
"[""ce: ('(0.145, 0.245)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.7785467128027681,0.4159495123350545,0.032330012089882024
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.7785467128027681,0.4684450227716331,0.06032512894169878
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.7612456747404844,0.39335887611749676,0.03938045806557916
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.7612456747404844,0.3853311439518336,0.03765035425935079
"[""amc: ('(0.015, 0.115)', '(-0.005, 0.025)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.7093425605536332,0.36529680365296807,0.026781444285031097
"[""amc: ('(0.105, 0.265)', '(0.015, 0.115)')"", ""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.6920415224913495,0.3289674078586658,0.017159805098509992
"[""amc: ('(0.105, 0.265)', '(-0.005, 0.025)')"", ""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.6920415224913495,0.37156872977768496,0.02543131608875554
"[""ce: ('(0.035, 0.155)', '(-0.005, 0.015)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.6920415224913495,0.48834628190899004,0.038367596173417465
"[""ce: ('(0.035, 0.155)', '(-0.005, 0.015)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.6920415224913495,0.4793756967670011,0.03658291961285793
