change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",1.6618075801749272,0.38429552550645674,0.06090618655069549
"[""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",1.2682215743440235,0.3453091192849289,0.05192027761441795
"[""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",1.1321671525753159,0.32772418173878026,0.030225646045696677
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",1.1078717201166182,0.38065087276996207,0.04140179964905652
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",1.1030126336248784,0.36944560281716243,0.04612696449431142
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.0398445092322643,0.3839024724066126,0.04418304276529102
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",1.000971817298348,0.45084840346685734,0.06745975113322052
"[""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.966958211856171,0.4041497424730958,0.03844497593733816
"[""cam: ('(0.195, 0.375)', '(0.365, 1.005)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.9620991253644315,0.37075099502704206,0.03744893528405717
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(0.024999999999999998, 0.045)')""]","bug: ('1', '0')",0.9523809523809523,0.4118164676304211,0.05098650755983457
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(0.024999999999999998, 0.045)')""]","bug: ('1', '0')",0.9426627793974733,0.3796144859813084,0.03626245140913509
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.923226433430515,0.3549018896666788,0.029407915437972165
"[""cam: ('(0.065, 0.20500000000000002)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.8989310009718172,0.3909353046772301,0.03312217080140606
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.8551992225461613,0.4060327198364009,0.04481886239742758
"[""ca: ('(0.024999999999999998, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.8454810495626821,0.30715225387279516,0.016491290393708502
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.826044703595724,0.35737226277372264,0.026153547133138957
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.8211856171039844,0.3365543085857793,0.028921212631519852
"[""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.8017492711370262,0.3392766604698327,0.029409996693817428
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.8017492711370262,0.4179174484052533,0.042092771174403826
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.7920310981535471,0.34435649700008447,0.022911891037767335
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cam: ('(0.065, 0.20500000000000002)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.782312925170068,0.4312348412949489,0.03415546842710812
"[""cam: ('(0.195, 0.375)', '(0.365, 1.005)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.782312925170068,0.3425531914893617,0.022424167235283163
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(0.024999999999999998, 0.045)')""]","bug: ('1', '0')",0.7774538386783285,0.3761104277709444,0.029949969405751717
"[""ca: ('(0.024999999999999998, 1.005)', '(0.005, 0.015)')""]","bug: ('1', '0')",0.7725947521865889,0.3911052051231304,0.039459652381812385
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.7628765792031098,0.4204596399329888,0.041538837757325156
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(0.024999999999999998, 0.045)')""]","bug: ('1', '0')",0.7482993197278911,0.3876523582405935,0.030457936070180963
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",0.7482993197278911,0.35966029723991505,0.024714799477570826
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(-0.005, 0.034999999999999996)')"", ""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.7337220602526726,0.36731638858568527,0.025215908465812203
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.728862973760933,0.4197114992801064,0.03890727617940923
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.7142857142857142,0.34602774274905423,0.02653185816451123
"[""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.7094266277939747,0.41282389108476064,0.030424027318437255
"[""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.7045675413022352,0.4261885516937321,0.032266990753346575
"[""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.7045675413022352,0.3271269366675727,0.019838155042236683
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cam: ('(0.195, 0.375)', '(0.365, 1.005)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6948493683187561,0.34190712386949224,0.02398887206630046
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6899902818270165,0.4258272868347104,0.03357375448486774
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6851311953352769,0.47493661716769286,0.040829877767840195
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""ic: ('(0.295, 0.705)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.6851311953352769,0.38704432205612377,0.024955501914027248
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6802721088435375,0.45958761559422406,0.036148988743479465
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6754130223517979,0.5063752276867032,0.03699278306170244
"[""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6754130223517979,0.4820323046129498,0.03545871038582409
"[""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6705539358600583,0.3708874458874459,0.025658500877159776
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.6656948493683188,0.3743231951871657,0.023927428114102783
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6608357628765792,0.3763690518070312,0.025869988901102994
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.6608357628765792,0.431037451571244,0.15817382853762618
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cam: ('(0.195, 0.375)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.6559766763848396,0.356685910438446,0.020915295510650897
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6511175898931001,0.3468901151304584,0.021830436650441903
"[""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6462585034013606,0.3454124245564836,0.020128313298303363
"[""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6462585034013606,0.3454124245564836,0.020128313298303363
"[""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6462585034013606,0.3454124245564836,0.020128313298303363
"[""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6462585034013606,0.3454124245564836,0.020128313298303363
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.641399416909621,0.4156272927366105,0.03375858955537636
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.641399416909621,0.5318762921395721,0.06125538572158838
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6365403304178814,0.5144221261688844,0.044013093959388266
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.6365403304178814,0.35633842530394255,0.028503449233317532
"[""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6365403304178814,0.3415741187831965,0.039084441115895874
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.6316812439261419,0.44055309985265784,0.08594866518035785
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.6316812439261419,0.34845974596247353,0.01922134213989008
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.6316812439261419,0.44055309985265784,0.08594866518035785
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.6316812439261419,0.44055309985265784,0.08594866518035785
"[""loc: ('(0.245, 0.845)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6316812439261419,0.5640744797371303,0.04060565285055081
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""ic: ('(0.295, 0.705)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.6316812439261419,0.5153153153153154,0.04709148965708733
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6316812439261419,0.32917490118577075,0.015818439176913
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.6316812439261419,0.44055309985265784,0.08594866518035785
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6316812439261419,0.35444378267487264,0.03412393252677193
"[""cam: ('(0.065, 0.20500000000000002)', '(0.365, 1.005)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6268221574344024,0.40245320311591676,0.024528048301387426
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.6219630709426628,0.5056047827479448,0.10156911553259565
"[""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6219630709426628,0.40369826319882485,0.02822592665462329
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6171039844509232,0.46834067817358305,0.07097447822666482
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')""]","bug: ('1', '0')",0.6171039844509232,0.4796292057679103,0.04858800663122392
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""loc: ('(0.245, 0.845)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6171039844509232,0.5920109007458405,0.04348303947429311
"[""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6171039844509232,0.35004555808656035,0.01810037389508358
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""loc: ('(0.065, 0.255)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6171039844509232,0.42550613059595094,0.03918402262530332
"[""loc: ('(0.005, 0.07500000000000001)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6122448979591837,0.4259028642590286,0.033584491310438835
"[""loc: ('(0.005, 0.07500000000000001)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6122448979591837,0.4259028642590286,0.033584491310438835
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(0.024999999999999998, 0.045)')""]","bug: ('1', '0')",0.6122448979591837,0.3944765814517634,0.025826148975838042
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(-0.005, 0.034999999999999996)')""]","bug: ('1', '0')",0.6122448979591837,0.3552455853984271,0.019343476054488107
"[""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6122448979591837,0.338531776493879,0.03719951592496837
"[""loc: ('(0.005, 0.07500000000000001)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6122448979591837,0.4259028642590286,0.033584491310438835
"[""loc: ('(0.005, 0.07500000000000001)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6122448979591837,0.4259028642590286,0.033584491310438835
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6073858114674442,0.44528003166435776,0.036803853881605224
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6073858114674442,0.44503329256692487,0.037385516977353705
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6073858114674442,0.44528003166435776,0.036803853881605224
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6073858114674442,0.44528003166435776,0.036803853881605224
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""dam: ('(0.005, 0.915)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6073858114674442,0.5999299351900508,0.046190770680566595
"[""amc: ('(0.005, 1.005)', '(-0.005, 0.005)')"", ""dam: ('(0.925, 1.005)', '(-0.005, 0.015)')""]","bug: ('1', '0')",0.6073858114674442,0.44528003166435776,0.036803853881605224
"[""ce: ('(0.095, 1.005)', '(-0.005, 0.07500000000000001)')"", ""cam: ('(0.195, 0.375)', '(0.365, 1.005)')"", ""cbo: ('(0.035, 0.315)', '(0.005, 0.045)')""]","bug: ('1', '0')",0.6025267249757046,0.35678391959799,0.018923006990814763
"[""avg_cc: ('(0.08499999999999999, 0.28500000000000003)', '(0.024999999999999998, 0.045)')""]","bug: ('1', '0')",0.597667638483965,0.3778801843317972,0.024619371558147064
